Indicator,Country,Start Year,End Year,Value,Unit,Source
Cropland area change,Bangladesh,2005,2005,-0.203732896289728,% change,FSCI
Cropland area change,Bangladesh,2006,2006,-0.281977325948449,% change,FSCI
Cropland area change,Bangladesh,2007,2007,-0.200040959612383,% change,FSCI
Cropland area change,Bangladesh,2008,2008,-0.172801449264171,% change,FSCI
Cropland area change,Bangladesh,2009,2009,-0.177529962314546,% change,FSCI
Cropland area change,Bangladesh,2010,2010,-0.161551325123019,% change,FSCI
Cropland area change,Bangladesh,2011,2011,-0.355132134557487,% change,FSCI
Cropland area change,Bangladesh,2012,2012,-0.334554914730191,% change,FSCI
Cropland area change,Bangladesh,2013,2013,0.0527176347697251,% change,FSCI
Cropland area change,Bangladesh,2014,2014,0.165240368939633,% change,FSCI
Cropland area change,Bangladesh,2015,2015,0.435443161170916,% change,FSCI
Cropland area change,Bangladesh,2016,2016,0.886542137322166,% change,FSCI
Cropland area change,Bangladesh,2017,2017,0.996742621784515,% change,FSCI
Cropland area change,Bangladesh,2018,2018,0.785674112832307,% change,FSCI
Cropland area change,Bangladesh,2019,2019,1.21716954942349,% change,FSCI
Cropland area change,Bangladesh,2020,2020,1.07860810246405,% change,FSCI
Cropland area change,Bangladesh,2021,2021,1.1882515025286,% change,FSCI
Availability of vegetables,Bangladesh,2010,2010,73.01369863013697,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2011,2011,72.54794520547945,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2012,2012,76.4931506849315,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2013,2013,76.71232876712328,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2014,2014,83.0958904109589,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2015,2015,93.53424657534246,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2016,2016,91.91780821917807,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2017,2017,98.65753424657534,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2018,2018,98.52054794520548,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2019,2019,105.3698630136986,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2020,2020,120.986301369863,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2021,2021,125.8356164383562,g/capita/day,FAOSTAT
Availability of vegetables,Bangladesh,2022,2022,136.1095890410959,g/capita/day,FAOSTAT
Adults: Nuts or seeds consumption,Bangladesh,2022,2022,8.69,%,Global Diet Quality Project / Gallup World Poll
Adults: Consumption of at least one vegetable,Bangladesh,2022,2022,81.07,%,Global Diet Quality Project / Gallup World Poll
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2000,2000,10.0304,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2001,2001,10.0326,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2002,2002,10.0222,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2003,2003,10.0244,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2004,2004,10.0642,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2005,2005,10.0662,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2006,2006,10.0681,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2007,2007,10.0699,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2008,2008,10.0646,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2009,2009,10.0702,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2010,2010,10.071,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2011,2011,10.0717,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2012,2012,10.0503,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2013,2013,10.0439,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2014,2014,10.0417,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2015,2015,10.052,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2016,2016,10.0391,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2017,2017,10.05,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2018,2018,10.0557,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2019,2019,10.0592,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2020,2020,10.067,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for cow's milk,Bangladesh,2021,2021,10.0727,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2000,2000,1.0021,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2001,2001,1.0342,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2002,2002,1.0107,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2003,2003,0.9726,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2004,2004,0.989,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2005,2005,0.9289,kg CO2eq/kg product,FAOSTAT
Greenhouse gas emissions intensity for rice,Bangladesh,2006,2006,0.9234,kg CO2eq/kg product,FAOSTAT
